Cluster,Biden Votes Weighted,Trump Votes Weighted
0,118175.53803637472,182084.43239768312
1,297782.50731584296,178745.38341168233
2,289940.3933862043,166437.08186342588
3,182087.35949410876,209736.83725030717
4,216517.8116894849,207494.74945225602
5,276947.9366498137,139010.80557004103
6,153085.53331449997,204277.92573693045
7,155363.8499394794,226793.30200003437
8,113671.60782140549,266854.64077804814
9,219124.7356482666,192333.575580733
10,168615.46315531578,166175.13136841636
11,141311.45109457307,219370.38826386782
12,164425.38751823117,173532.88837576364
13,187242.4249363988,225925.85795081046
