Cluster,Biden Votes Weighted,Trump Votes Weighted
0,312977.49880961305,196672.32169131815
1,168544.145196962,226506.31309699154
2,105393.369717368,254331.96757410583
3,190965.04451451698,188681.95548437786
4,163580.31197759788,207359.2779161556
5,317837.16997489095,136362.58680060226
6,257179.1127727506,178584.05625458926
7,150096.37027473637,209362.41341886632
8,154545.68403266894,161324.5165815342
9,180289.13863425274,205896.21659710762
10,170685.2460275235,195450.50310810667
11,117359.29099110013,203788.7400115691
12,178842.62780894656,211353.89450413221
13,215996.989267072,183098.23696054314
